dt,winning_bid_max,winning_bid_min,winning_bid_mean,auction_trading_volume,auction_lots_count,all_auctions_lots_count,auction_name,auction_slug
2023-07-01,6817.6,8.9,223.53,271587.9,1215,33595,Australian Whisky Auctions,australian-whisky-auctions
2023-07-01,8166.5,5.2,183.93,880485.2,4787,33595,Catawiki Whisky Auction,catawiki
2023-07-01,2348.3,13.7,222.66,26496.8,119,33595,Celtic Whiskey Auction,celtic-whiskey-auction
2023-07-01,1287.7,0.0,215.6,22853.6,106,33595,European Whisky Auctions,european-whisky-auctions
2023-07-01,4200.0,3.0,182.98,84172.38,460,33595,Highland Whisky Auctions,highland-whisky-auctions
2023-07-01,17500.0,2.5,254.95,289115.81,1134,33595,Just Whisky Auctions,just-whisky
2023-07-01,3400.0,15.0,119.1,49785.0,418,33595,McTear’s Whisky Auction,mctears
2023-07-01,3100.0,2.0,114.62,45388.5,396,33595,Prestige Whisky Auction,prestige-whisky-auction
2023-07-01,40000.0,15.0,301.97,209870.0,695,33595,Rum Auctioneer,rumauctioneer
2023-07-01,170000.0,48.9,3226.97,1210115.0,375,33595,Sotheby's Whisky Auction,sothebys-whisky-auction
2023-07-01,5000.0,20.0,227.6,126319.0,555,33595,Speyside Whisky Auctions,speyside-whisky-auctions
2023-07-01,8100.0,5.0,320.45,770042.77,2403,33595,The Grand Whisky Auction,thegrandwhiskyauction
2023-07-01,6300.0,16.0,222.97,391984.0,1758,33595,The Whisky Shop Auctions,the-whisky-shop-auctions
2023-07-01,28387.5,3.8,232.84,1490643.8,6402,33595,Unicorn Auctions,unicorn-auctions
2023-07-01,17000.0,2.0,155.84,414391.0,2659,33595,Whisky.Auction,whiskyauction
2023-07-01,5968.1,0.9,172.78,1005379.8,5819,33595,WhiskyAuction.com,whiskyauctioncom
2023-07-01,40000.0,15.0,400.3,2764850.0,6907,6907,Whisky Auctioneer,whiskyauctioneer
2023-07-01,1466.6,9.6,84.8,32816.4,387,33595,Whisky Auktion Berlin,whisky-auktion-berlin
2023-07-01,90000.0,2.5,608.44,827480.5,1360,33595,Whisky Bull Auctions,whisky-bull-auctions
2023-07-01,28000.0,20.0,361.93,737970.0,2039,33595,Whisky Hammer,whisky-hammer
2023-07-01,30000.0,8.0,567.79,288435.5,508,33595,Whisky-Online Auctions,whisky-online-auctions
